Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Which reserve sector are you with?,Have you used the SWMP Status Reports that were produced for your reserve?,,Have you used the software to create the SWMP Status Report for your reserve?,,"Please rate the software (running RStudio, etc.) used to process the data for the SWMP Status Report.",,"Please rate the process (changing parameters and text in Excel, tweaking things in the PowerPoint template, etc.) used to create and customize the SWMP Status Report.",,If you could add one thing to the status report what would it be? Please describe.,"If you could get rid of one thing, what would it be? Please describe:"
,,,,,,,,,Response,Response,"If yes, how did you use them? <br />If not, why not?",Response,"If not, why not?",Response,"Please describe what issues, if any,  you encountered using the software.",Response,"Please describe what issues, if any, you encountered creating the status report for your reserve.",Open-Ended Response,Open-Ended Response
10318295519,219157342,10/31/2018 11:08:29 PM,11/01/2018 12:38:17 AM,76.103.43.77,,,,,Education Coordinators,No,"I am an Education Specialist for the reserve and we include use SWMP data in a variety of our activities and workshops, but I haven't seen a ""SWMP Status Report"".    We use SWMP datasets to support high school student investigations in Elkhorn Slough. We have about 12 high school student groups each year do investigations in the slough from two local high schools as part of a Monterey Bay Aquarium program to get underrepresented students doing science. Student groups are paired with science mentors to come up with investigative questions and carry out their investigations during the autumn (this year's group is doing this now). They are encouraged and taught how to use SWMP data which is used to support their research. Some of the projects have been presented at regional GLOBE (Global Learning and Observations to Benefit the Environment) Program Student Research Symposiums. This data is a stellar addition to their own data collection. We at Elkhorn Slough Reserve are hoping to have SWMP data entered into the GLOBE Program data archive for students to use in the US and around the world.    We also used SWMP reports to create data lessons involving data analysis. Some lessons have the students draw relationships among the variables (mostly water quality and meteorology), like DO and water temperature, or salinity and precipitation. Other lessons have the students assess whether certain species can live in certain locations based on water data or determine what might be the limiting factors for species absence. They compare data from different years to see how these variables are changing from one year to the next.    We include training on using SWMP in some of our teacher trainings. We have a one day training specifically about using SWMP data for data analysis and include how the students can compare data they collect on fieldtrips at the reserve using water quality kits to data taken at a nearby SWMP station. Once students collect data using water quality instruments we feel they will be more engaged in analyzing data sets from that location and perhaps be interested in comparing this data to data from other locations or reserves.",No,I need to look into this to see how it can be used in our education program.,,,,,,
10317747445,219157342,10/31/2018 05:25:50 PM,10/31/2018 05:37:01 PM,128.223.70.78,,,,,SWMP Technicians,Yes,We used them to update our Reserve Management Commission on NERRS regional activities and products.  ,Yes,,I had one or two questions but was able to figure it out.,,I had one or two questions but was able to figure it out.,,A way (symbol) for the maps to distinguish a sonde water quality site vs. a nutrient grab water quality site    The ability to summarize trend data by season/quarters that overlap years. ,"at the bottom right corner of the maps, there is an unnecessary reference to Leaflet ESRI, DeLorme, NAVTEQ "
10316514748,219157342,10/31/2018 10:44:04 AM,10/31/2018 10:49:48 AM,204.11.228.130,,,,,SWMP Technicians,Yes,Mostly just trying it out and looking to see how it works. I also was looking for trends and this was easier to use rather than trying to analyze the data myself,Yes,,I had one or two questions but was able to figure it out.,"The main one was I wanted to use current data so I just pasted it to a csv but realized I had to download it from CDMO, even the recent data, otherwise the script refused to work with it",I had one or two questions but was able to figure it out.,,I'd have to play with it more to give a useful answer,same as above
10313800876,219157342,10/30/2018 12:33:36 PM,10/30/2018 12:44:35 PM,199.73.152.145,,,,,Research Coordinators,Yes,"internal ""practice"" so far to prepare to discuss at the annual meeting",Yes,,I had one or two questions but was able to figure it out.,"most Shannon, our SWMP Tech, ran the software, but I did it in the training with no issues",I had one or two questions but was able to figure it out.,We had trouble customizing legends for graphs and moving graphics in the template using Excel. We ended up cheating in Power Point which was fine except the legends are still difficult.,,
10313572737,219157342,10/30/2018 11:19:50 AM,10/30/2018 11:22:26 AM,165.151.176.180,,,,,SWMP Technicians,No,"At the moment it is about time.  However, we are very interested in producing and annual report for the reserve and have canvassed the graphs for opportunities to use the script in other research and monitoring analysis efforts.",No,We are quickly moving in that directions and plan to this winter when field work is minimal.,,,,,,
10313433920,219157342,10/30/2018 10:33:16 AM,10/30/2018 10:37:45 AM,69.60.32.16,,,,,SWMP Technicians,Yes,"I've looked through graphs. We have not made a full report yet. This would require effort from multiple sectors - others hadn't heard much about it, and seem to think it should be a SWMP-led effort. Though I think these are great, I don't have the time to pull everything together. I think some efforts to educate ed/outreach sectors and get their buy-in and enthusiasm would be extremely helpful.",Yes,"I've played with it, but we haven't made a full report yet.",I had one or two questions but was able to figure it out.,,I had one or two questions but was able to figure it out.,,,
10313251940,219157342,10/30/2018 09:35:05 AM,10/30/2018 09:35:40 AM,158.123.57.71,,,,,Coastal Training Program Coordinators,No,I didn't know they were available,No,not my area of focus/work,,,,,,
10313225506,219157342,10/30/2018 09:22:28 AM,10/30/2018 09:30:31 AM,174.199.8.42,,,,,Research Coordinators,No,We have not yet had a chance to finalize ours to fit our local needs here.  Planning to finalize right after Duluth.,Yes,,I had one or two questions but was able to figure it out.,"no, pretty straightforward.",It was easy.,,nothing!  We are going to hopefully make it even shorter.,"one of the maps; don't need two.  Though really, we hope to condense the inner two pages down to one page."
10313197358,219157342,10/30/2018 09:16:03 AM,10/30/2018 09:18:27 AM,170.63.67.40,,,,,Research Coordinators,Yes,Shared with Education,Yes,,I had one or two questions but was able to figure it out.,,I had one or two questions but was able to figure it out.,,"Not having a ten year analysis window, however I can likely figure it out in R studio given enough time..... btw, what is the vision for who will be responsible for the annual updates to this report0 the SWMP techs or RC?",
10311515339,219157342,10/29/2018 03:38:56 PM,10/29/2018 03:47:49 PM,130.212.92.42,,,,,Research Coordinators,No,Still under development - not yet finished with text or formatting,Yes,,It was easy.,,I needed help executing the workflow process.,"Graph labels changed for the worse after our data was plotted - not sure why - who to contact for help?    Also, square map doesn't fit our sites without making station labels illegible (overlapping). Need to be able to have more control over adjusting position of station labels on map, or an option for a rectangular map.","I want our reports to be for water year instead of calendar year. I asked for that option early on but was told recently that it was deemed by the workgroup to be not possible. That is very disappointing to me. We can probably cut and paste data from different calendar years to piece together something appropriate but we're unlikely to have time to spend on that, so our reports with calendar year summaries will be less useful and I may not share them widely. Water year is what matters for water quality data in our region.",
10311501255,219157342,10/29/2018 03:27:20 PM,10/29/2018 03:34:19 PM,139.70.195.137,,,,,Stewardship Coordinator,No,No.  Just issue of time.,No,"Again, have interest (especially in understanding and using R), but issue of time.",,,,,,
10311063081,219157342,10/29/2018 12:55:44 PM,10/29/2018 12:57:30 PM,104.254.225.34,,,,,Stewardship Coordinator,Yes,Presented to our local Community Council.,No,"I didn't realize till I was asked to do this survey that the software had been released. Our reserve will use the software, now that we know it's available.",,,,,,
10311050672,219157342,10/29/2018 12:52:40 PM,10/29/2018 12:53:09 PM,140.208.255.14,,,,,Research Coordinators,No,,No,,,,,,,
10310514292,219157342,10/29/2018 09:48:38 AM,10/29/2018 09:50:31 AM,169.244.185.201,,,,,Coastal Training Program Coordinators,No,I don't know where they are or how to find them. I didn't realize we had them.  ,No,I am not good with software,,,,,,
10310495037,219157342,10/29/2018 09:41:05 AM,10/29/2018 09:43:32 AM,65.122.172.196,,,,,Managers,No,"staff turnover and current lack of r experience (we had hoped to slightly modify the provided report, to tailor it more directly to our need and audiences, but stumbled a bit with the process). ",No,see question 2,,,,,,
10310308009,219157342,10/29/2018 08:28:46 AM,10/29/2018 08:31:39 AM,170.63.67.40,,,,,Education Coordinators,Yes,"to develop presentations for community members, to hand out at presentations",No,I've used the powerpoint part of the pamphlet to change that but haven't tried to change any of the data. Our RC and SWMP Tech are doing that part.,,,,,,
10310287498,219157342,10/29/2018 08:23:00 AM,10/29/2018 08:23:19 AM,140.208.255.14,,,,,Education Coordinators,No,,No,,,,,,,
10306640027,219157342,10/26/2018 03:32:41 PM,10/26/2018 03:35:50 PM,170.63.67.40,,,,,SWMP Technicians,Yes,We have passed them out at several outreach and education programs including but not limited to the Annual Block Party and at a presentation to Stonehill College students.    We've also used the graph outputs for presentation slides to high school and college student programs as well as presentations geared toward the general public. ,No,My Research Coordinator has more experience with R and generated the reports for us. ,,,,,,
10301732014,219157342,10/24/2018 06:56:18 PM,10/24/2018 06:57:42 PM,165.151.176.88,,,,,Coastal Training Program Coordinators,No,"The research coordinator is taking the lead on this and, honestly, has been too busy to put much attention on it yet.",No,"Again, the research coordinator is taking the lead on this.",,,,,,
10301456131,219157342,10/24/2018 04:25:33 PM,10/24/2018 04:29:10 PM,166.122.79.250,,,,,Research Coordinators,No,We are new and have not heard about them yet.,No,I have not been made aware of the software.,,,,,,
10300964897,219157342,10/24/2018 01:09:39 PM,10/24/2018 01:10:02 PM,167.7.12.164,,,,,Education Coordinators,No,,No,,,,,,,
10300741466,219157342,10/24/2018 11:47:44 AM,10/24/2018 11:48:42 AM,165.151.232.155,,,,,Research Coordinators,No,,No,Still working on learning the R script and applications.  Also deciding what data to incorporate.,,,,,,
10300678650,219157342,10/24/2018 11:24:26 AM,10/24/2018 11:27:08 AM,24.61.120.11,,,,,Research Coordinators,No,Highly interested but still in triage mode as a new RC,No,"Only in training thus far, but plan to dive in during the winter",,,,,,
10300529673,219157342,10/24/2018 10:33:12 AM,10/24/2018 10:35:09 AM,167.102.37.34,,,,,Research Coordinators,No,"We are very excited to use our reports soon for communication with the public as well as local managers, but have not yet had the opportunity.",No,We are excited to tinker with the software over the winter once our field work schedule has died down a bit.,,,,,,
10300079775,219157342,10/24/2018 07:57:20 AM,10/24/2018 07:58:23 AM,169.244.185.201,,,,,Education Coordinators,No,Perhaps I missed the memo? I didn't know they were available.,No,Same as above,,,,,,
10300018061,219157342,10/24/2018 07:28:17 AM,10/24/2018 07:30:50 AM,174.199.8.42,,,,,Education Coordinators,No,Didn't have time to really look at them and find a way to incorporate them into programming. Don't know enough about them to know if they are useful for my programming. And not even sure where to find them.,No,Haven't spent any time dealing with the SWMP status report so I don't even know what software you're talking about.,,,,,,
10299885185,219157342,10/24/2018 06:09:39 AM,10/24/2018 06:21:48 AM,199.73.152.200,,,,,Research Coordinators,No,"Our research coordinator in place at the time, did not make them available to us. ",Yes,,I needed help using the software.,Command line software can be difficult for me to use at times. Quite often the time it takes to figure out the coding negates the power and usefulness of the program.,It was easy.,"Other than the typical problems associated with Microsoft programs, the process is simple.",,
10299202362,219157342,10/23/2018 08:48:03 PM,10/23/2018 09:20:05 PM,24.50.238.4,,,,,SWMP Technicians,Yes,"I used the SWMP Status reports to evaluate our performance in terms of, data reports submission timeliness, to monitor if all data was submitted and to look forward for improvement opportunities.",Yes,,It was easy.,,I had one or two questions but was able to figure it out.,,,
10298638465,219157342,10/23/2018 03:34:45 PM,10/23/2018 03:40:58 PM,65.73.211.90,,,,,Research Coordinators,Yes,I edited the templates using both 2016 and 2017 data.,Yes,,I needed help using the software.,"Dave Eslinger was a big help when I got completely stuck. He walked me through updating our 2016 report over the phone, and I was then able to update our 2017 on my own.",I had one or two questions but was able to figure it out.,,"We needed separate reports for our multiple component sites, and I was able to fund a seperate contract with LimnoTech to do this, and include our historic non-SWMP data too.","I did not find the pre-generated map to be sufficient, so I preferred to just insert my own map."
10298562901,219157342,10/23/2018 03:04:46 PM,10/23/2018 03:12:38 PM,199.73.152.130,,,,,SWMP Technicians,Yes,"I've used them as examples for presentations exhibiting ""national level"" water quality monitoring efforts. We are still fine-tuning the current status report for dissemination. ",Yes,,I had one or two questions but was able to figure it out.,,It was difficult but I worked it out.,"There were certain things that did not seem to work well. For example, I thought the purpose of the Excel file to set up the Report template was to make it easier to ""tell R"" what figures/information you want where in the final report. However, when changing which output figures I wanted on Page 3 of the report in the Excel template, R had issues and nothing was produced on Page 3 of the template. I ended up having to export a basic Report template and modify the text and graphs by hand in PowerPoint because the automated R process did not work. It may have been due to the different ""sizes"" of the output figures and the formatting code that goes into the creation of the PowerPoint file. ","The ability to add different threshold values associated with multiple stations. At my Reserve, all of the SWMP stations are located within waterbodies of different state classifications. As such, the ""state standards"" for those waterbodies differs for EACH station. To create the Chlorophyll threshold criteria graphs associated with the appropriate value at each station, I had to change the line in the Excel parameters document and rerun the full code four separate times and remove the chlorophyll outputs from the folders before each go. It was cumbersome and not as streamlined of a workflow.  Also, there were certain data types that the figures did not work for. For example, the ""daily range"" seasonal line plots do not work for monthly nutrient samples. Could we remove certain legend items from figures?",I don't think I would get RID of anything. Just improve what is there.
10298516798,219157342,10/23/2018 02:47:07 PM,10/23/2018 02:48:21 PM,199.73.152.169,,,,,Coastal Training Program Coordinators,No,Don't know where they are and there has not been a request for this type of information from end users,No,No need and not sure where it is or how to use it.,,,,,,
10298477923,219157342,10/23/2018 02:31:11 PM,10/23/2018 02:33:08 PM,173.228.198.69,,,,,Research Coordinators,No,One report was produced and we use it to show how SWMP data can be used.,No,Confronted issues installing the R package due to lack of admin rights. We plan to go through the training and use it once we can solve such issues.,,,,,,
10298292729,219157342,10/23/2018 01:18:45 PM,10/23/2018 01:22:39 PM,66.118.102.213,,,,,Managers,No,"We hadn't identified such reports as a priority need, and didn't have an identified audience to give them to once they were available. Subsequent to the production of the first edition, we haven't had this as a high enough priority to devote time & energy to.",No,see comment above about priorities,,,,,,
10298235349,219157342,10/23/2018 01:00:24 PM,10/23/2018 01:01:23 PM,66.144.212.5,,,,,Coastal Training Program Coordinators,Yes,In correlation with the Reserve's Phenological Species Monitoring Program - comparing wildlife presence/activity data to SWMP data.,No,,,,,,,
10297996184,219157342,10/23/2018 11:32:00 AM,10/23/2018 11:32:35 AM,69.60.32.16,,,,,Managers,No,,No,,,,,,,
10297911907,219157342,10/23/2018 11:01:16 AM,10/23/2018 11:02:04 AM,137.81.124.117,,,,,Managers,No,I only learned about these and the draft one for our reserve last week!!! Our SWMP Coordinator just shared it with us. ,No,not my job,,,,,,
10297894571,219157342,10/23/2018 10:55:29 AM,10/29/2018 07:47:10 PM,184.23.224.209,,,,,SWMP Technicians,No,Still working together with EC on report.,Yes,,It was easy.,,I had one or two questions but was able to figure it out.,"I have had some small issues with the output- legends offset in graphs, labels overlapping in the map because of our reserve lay out- that I am not sure how to fix but also don't know where to seek out help with these issues.",,inc/dec arrows table
10297826140,219157342,10/23/2018 10:32:01 AM,10/23/2018 10:32:38 AM,167.7.12.164,,,,,Managers,No,,No,Not my role to edit the reports,,,,,,
10297807489,219157342,10/23/2018 10:25:07 AM,10/23/2018 10:26:13 AM,128.223.70.78,,,,,Research Coordinators,No,Did not have the need for the information this past year.,No,Did not need it in the past year.,,,,,,
10297794946,219157342,10/23/2018 10:14:57 AM,10/23/2018 10:21:55 AM,128.223.70.78,,,,,Coastal Training Program Coordinators,No,This is the first time I have heard of them.,No,Same as above. ,,,,,,
10297759261,219157342,10/23/2018 10:09:43 AM,10/23/2018 10:10:15 AM,199.73.152.184,,,,,Education Coordinators,No,never saw them,No,didn't know about it,,,,,,
